variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes	sensi_1	sensi_0	speci_1	speci_0	mutation_in_interest	mutation_not_in_interest	mutation_in_compared	mutation_not_in_compared
group_782	0.758	0.136	0.159	0.525	0.37	0.129		0.7	0.3	0.8166666666666667	0.18333333333333332	42	18	49	11
group_784	0.758	0.136	0.159	0.525	0.37	0.129		0.7	0.3	0.8166666666666667	0.18333333333333332	42	18	49	11
group_785	0.758	0.136	0.159	0.525	0.37	0.129		0.7	0.3	0.8166666666666667	0.18333333333333332	42	18	49	11
group_786	0.758	0.136	0.159	0.525	0.37	0.129		0.7	0.3	0.8166666666666667	0.18333333333333332	42	18	49	11
group_1163	0.742	0.0605	0.804	-0.244	0.981	0.0229		0.6666666666666666	0.3333333333333333	0.8166666666666667	0.18333333333333332	40	20	49	11
group_1169	0.742	0.0605	0.804	-0.244	0.981	0.0229		0.6666666666666666	0.3333333333333333	0.8166666666666667	0.18333333333333332	40	20	49	11
gabR_1	0.733	5.91e-10	0.479	0.40399999999999997	0.569	0.0652	bad-chisq	0.9833333333333333	0.016666666666666666	0.48333333333333334	0.5166666666666667	59	1	29	31
group_1152	0.6579999999999999	0.847	0.83	-0.152	0.705	0.0198		0.65	0.35	0.6666666666666666	0.3333333333333333	39	21	40	20
group_986	0.583	0.000859	0.919	-0.00851	0.0835	0.00938		0.7333333333333333	0.26666666666666666	0.43333333333333335	0.5666666666666667	44	16	26	34
group_1147	0.5579999999999999	0.8540000000000001	0.748	-0.0205	0.0637	0.0296		0.5666666666666667	0.43333333333333335	0.55	0.45	34	26	33	27
group_1172	0.5579999999999999	0.00583	0.14800000000000002	0.536	0.368	0.133		0.6833333333333333	0.31666666666666665	0.43333333333333335	0.5666666666666667	41	19	26	34
group_1173	0.5579999999999999	0.00583	0.14800000000000002	0.536	0.368	0.133		0.6833333333333333	0.31666666666666665	0.43333333333333335	0.5666666666666667	41	19	26	34
group_422	0.5579999999999999	0.00583	0.14800000000000002	0.536	0.368	0.133		0.6833333333333333	0.31666666666666665	0.43333333333333335	0.5666666666666667	41	19	26	34
group_783	0.5579999999999999	0.00583	0.14800000000000002	0.536	0.368	0.133		0.6833333333333333	0.31666666666666665	0.43333333333333335	0.5666666666666667	41	19	26	34
hin_2	0.542	0.0172	0.892	-0.131	0.96	0.0125		0.65	0.35	0.43333333333333335	0.5666666666666667	39	21	26	34
group_1161	0.542	0.0172	0.892	-0.131	0.96	0.0125		0.65	0.35	0.43333333333333335	0.5666666666666667	39	21	26	34
group_1162	0.542	0.0172	0.892	-0.131	0.96	0.0125		0.65	0.35	0.43333333333333335	0.5666666666666667	39	21	26	34
group_1164	0.542	0.0172	0.892	-0.131	0.96	0.0125		0.65	0.35	0.43333333333333335	0.5666666666666667	39	21	26	34
group_1166	0.542	0.0172	0.892	-0.131	0.96	0.0125		0.65	0.35	0.43333333333333335	0.5666666666666667	39	21	26	34
group_1167	0.542	0.0172	0.892	-0.131	0.96	0.0125		0.65	0.35	0.43333333333333335	0.5666666666666667	39	21	26	34
